customerNumber,customerName,contactLastName,contactFirstName,phone,addressLine1,addressLine2,city,state,postalCode,country,salesRepEmployeeNumber,creditLimit,employeeNumber,lastName,firstName,extension,email,officeCode,reportsTo,jobTitle
124,"Mini Gifts Distributors Ltd.",Nelson,Susan,4155551450,"5677 Strong St.",NULL,"San Rafael",CA,97562,USA,1165,210500.00,1165,Jennings,Leslie,x3291,ljennings@classicmodelcars.com,1,1143,"Sales Rep"
129,"Mini Wheels Co.",Murphy,Julie,6505555787,"5557 North Pendale Street",NULL,"San Francisco",CA,94217,USA,1165,64600.00,1165,Jennings,Leslie,x3291,ljennings@classicmodelcars.com,1,1143,"Sales Rep"
161,"Technics Stores Inc.",Hashimoto,Juri,6505556809,"9408 Furth Circle",NULL,Burlingame,CA,94217,USA,1165,84600.00,1165,Jennings,Leslie,x3291,ljennings@classicmodelcars.com,1,1143,"Sales Rep"
321,"Corporate Gift Ideas Co.",Brown,Julie,6505551386,"7734 Strong St.",NULL,"San Francisco",CA,94217,USA,1165,105000.00,1165,Jennings,Leslie,x3291,ljennings@classicmodelcars.com,1,1143,"Sales Rep"
450,"The Sharp Gifts Warehouse",Frick,Sue,4085553659,"3086 Ingle Ln.",NULL,"San Jose",CA,94217,USA,1165,77600.00,1165,Jennings,Leslie,x3291,ljennings@classicmodelcars.com,1,1143,"Sales Rep"
487,"Signal Collectibles Ltd.",Taylor,Sue,4155554312,"2793 Furth Circle",NULL,Brisbane,CA,94217,USA,1165,60300.00,1165,Jennings,Leslie,x3291,ljennings@classicmodelcars.com,1,1143,"Sales Rep"
112,"Signal Gift Stores",King,Jean,7025551838,"8489 Strong St.",NULL,"Las Vegas",NV,83030,USA,1166,71800.00,1166,Thompson,Leslie,x4065,lthompson@classicmodelcars.com,1,1143,"Sales Rep"
205,Toys4GrownUps.com,Young,Julie,6265557265,"78934 Hillside Dr.",NULL,Pasadena,CA,90003,USA,1166,90700.00,1166,Thompson,Leslie,x4065,lthompson@classicmodelcars.com,1,1143,"Sales Rep"
219,"Boards & Toys Co.",Young,Mary,3105552373,"4097 Douglas Av.",NULL,Glendale,CA,92561,USA,1166,11000.00,1166,Thompson,Leslie,x4065,lthompson@classicmodelcars.com,1,1143,"Sales Rep"
239,"Collectable Mini Designs Co.",Thompson,Valarie,7605558146,"361 Furth Circle",NULL,"San Diego",CA,91217,USA,1166,105000.00,1166,Thompson,Leslie,x4065,lthompson@classicmodelcars.com,1,1143,"Sales Rep"
347,"Men 'R' US Retailers, Ltd.",Chandler,Brian,2155554369,"6047 Douglas Av.",NULL,"Los Angeles",CA,91003,USA,1166,57700.00,1166,Thompson,Leslie,x4065,lthompson@classicmodelcars.com,1,1143,"Sales Rep"
475,"West Coast Collectables Co.",Thompson,Steve,3105553722,"3675 Furth Circle",NULL,Burbank,CA,94019,USA,1166,55400.00,1166,Thompson,Leslie,x4065,lthompson@classicmodelcars.com,1,1143,"Sales Rep"
173,"Cambridge Collectables Co.",Tseng,Jerry,6175555555,"4658 Baden Av.",NULL,Cambridge,MA,51247,USA,1188,43400.00,1188,Firrelli,Julie,x2173,jfirrelli@classicmodelcars.com,2,1143,"Sales Rep"
204,"Online Mini Collectables",Barajas,Miguel,6175557555,"7635 Spinnaker Dr.",NULL,Brickhaven,MA,58339,USA,1188,68700.00,1188,Firrelli,Julie,x2173,jfirrelli@classicmodelcars.com,2,1143,"Sales Rep"
320,"Mini Creations Ltd.",Huang,Wing,5085559555,"4575 Hillside Dr.",NULL,"New Bedford",MA,50553,USA,1188,94500.00,1188,Firrelli,Julie,x2173,jfirrelli@classicmodelcars.com,2,1143,"Sales Rep"
339,"Classic Gift Ideas, Inc",Cervantes,Francisca,2155554695,"782 First Street",NULL,Philadelphia,PA,71270,USA,1188,81100.00,1188,Firrelli,Julie,x2173,jfirrelli@classicmodelcars.com,2,1143,"Sales Rep"
379,"Collectables For Less Inc.",Nelson,Allen,6175558555,"7825 Douglas Av.",NULL,Brickhaven,MA,58339,USA,1188,70700.00,1188,Firrelli,Julie,x2173,jfirrelli@classicmodelcars.com,2,1143,"Sales Rep"
495,"Diecast Collectables",Franco,Valarie,6175552555,"6251 Ingle Ln.",NULL,Boston,MA,51003,USA,1188,85100.00,1188,Firrelli,Julie,x2173,jfirrelli@classicmodelcars.com,2,1143,"Sales Rep"
157,"Diecast Classics Inc.",Leong,Kelvin,2155551555,"7586 Pompton St.",NULL,Allentown,PA,70267,USA,1216,100600.00,1216,Patterson,Steve,x4334,spatterson@classicmodelcars.com,2,1143,"Sales Rep"
198,"Auto-Moto Classics Inc.",Taylor,Leslie,6175558428,"16780 Pompton St.",NULL,Brickhaven,MA,58339,USA,1216,23000.00,1216,Patterson,Steve,x4334,spatterson@classicmodelcars.com,2,1143,"Sales Rep"
286,"Marta's Replicas Co.",Hernandez,Marta,6175558555,"39323 Spinnaker Dr.",NULL,Cambridge,MA,51247,USA,1216,123700.00,1216,Patterson,Steve,x4334,spatterson@classicmodelcars.com,2,1143,"Sales Rep"
362,Gifts4AllAges.com,Yoshido,Juri,6175559555,"8616 Spinnaker Dr.",NULL,Boston,MA,51003,USA,1216,41900.00,1216,Patterson,Steve,x4334,spatterson@classicmodelcars.com,2,1143,"Sales Rep"
363,"Online Diecast Creations Co.",Young,Dorothy,6035558647,"2304 Long Airport Avenue",NULL,Nashua,NH,62005,USA,1216,114200.00,1216,Patterson,Steve,x4334,spatterson@classicmodelcars.com,2,1143,"Sales Rep"
462,FunGiftIdeas.com,Benitez,Violeta,5085552555,"1785 First Street",NULL,"New Bedford",MA,50553,USA,1216,85800.00,1216,Patterson,Steve,x4334,spatterson@classicmodelcars.com,2,1143,"Sales Rep"
151,"Muscle Machine Inc",Young,Jeff,2125557413,"4092 Furth Circle","Suite 400",NYC,NY,10022,USA,1286,138500.00,1286,Tseng,"Foon Yue",x2248,ftseng@classicmodelcars.com,3,1143,"Sales Rep"
168,"American Souvenirs Inc",Franco,Keith,2035557845,"149 Spinnaker Dr.","Suite 101","New Haven",CT,97823,USA,1286,0.00,1286,Tseng,"Foon Yue",x2248,ftseng@classicmodelcars.com,3,1143,"Sales Rep"
181,"Vitachrome Inc.",Frick,Michael,2125551500,"2678 Kingston Rd.","Suite 101",NYC,NY,10022,USA,1286,76400.00,1286,Tseng,"Foon Yue",x2248,ftseng@classicmodelcars.com,3,1143,"Sales Rep"
233,"Québec Home Shopping Network",Fresnière,"Jean ","(514) 555-8054","43 rue St. Laurent",NULL,Montréal,Québec,"H1J 1C3",Canada,1286,48700.00,1286,Tseng,"Foon Yue",x2248,ftseng@classicmodelcars.com,3,1143,"Sales Rep"
424,"Classic Legends Inc.",Hernandez,Maria,2125558493,"5905 Pompton St.","Suite 750",NYC,NY,10022,USA,1286,67500.00,1286,Tseng,"Foon Yue",x2248,ftseng@classicmodelcars.com,3,1143,"Sales Rep"
455,"Super Scale Inc.",Murphy,Leslie,2035559545,"567 North Pendale Street",NULL,"New Haven",CT,97823,USA,1286,95400.00,1286,Tseng,"Foon Yue",x2248,ftseng@classicmodelcars.com,3,1143,"Sales Rep"
456,"Microscale Inc.",Choi,Yu,2125551957,"5290 North Pendale Street","Suite 200",NYC,NY,10022,USA,1286,39800.00,1286,Tseng,"Foon Yue",x2248,ftseng@classicmodelcars.com,3,1143,"Sales Rep"
131,"Land of Toys Inc.",Lee,Kwai,2125557818,"897 Long Airport Avenue",NULL,NYC,NY,10022,USA,1323,114900.00,1323,Vanauf,George,x4102,gvanauf@classicmodelcars.com,3,1143,"Sales Rep"
175,"Gift Depot Inc.",King,Julie,2035552570,"25593 South Bay Ln.",NULL,Bridgewater,CT,97562,USA,1323,84300.00,1323,Vanauf,George,x4102,gvanauf@classicmodelcars.com,3,1143,"Sales Rep"
202,"Canadian Gift Exchange Network",Tamuri,"Yoshi ","(604) 555-3392","1900 Oak St.",NULL,Vancouver,BC,"V3F 2K1",Canada,1323,90300.00,1323,Vanauf,George,x4102,gvanauf@classicmodelcars.com,3,1143,"Sales Rep"
260,"Royal Canadian Collectables, Ltd.",Lincoln,"Elizabeth ","(604) 555-4555","23 Tsawassen Blvd.",NULL,Tsawassen,BC,"T2F 8M4",Canada,1323,89600.00,1323,Vanauf,George,x4102,gvanauf@classicmodelcars.com,3,1143,"Sales Rep"
319,"Mini Classics",Frick,Steve,9145554562,"3758 North Pendale Street",NULL,"White Plains",NY,24067,USA,1323,102700.00,1323,Vanauf,George,x4102,gvanauf@classicmodelcars.com,3,1143,"Sales Rep"
328,"Tekni Collectables Inc.",Brown,William,2015559350,"7476 Moss Rd.",NULL,Newark,NJ,94019,USA,1323,43000.00,1323,Vanauf,George,x4102,gvanauf@classicmodelcars.com,3,1143,"Sales Rep"
447,"Gift Ideas Corp.",Lewis,Dan,2035554407,"2440 Pompton St.",NULL,Glendale,CT,97561,USA,1323,49700.00,1323,Vanauf,George,x4102,gvanauf@classicmodelcars.com,3,1143,"Sales Rep"
486,"Motor Mint Distributors Inc.",Salazar,Rosa,2155559857,"11328 Douglas Av.",NULL,Philadelphia,PA,71270,USA,1323,72600.00,1323,Vanauf,George,x4102,gvanauf@classicmodelcars.com,3,1143,"Sales Rep"
146,"Saveley & Henriot, Co.",Saveley,"Mary ",78.32.5555,"2, rue du Commerce",NULL,Lyon,NULL,69004,France,1337,123900.00,1337,Bondur,Loui,x6493,lbondur@classicmodelcars.com,4,1102,"Sales Rep"
